uuid,openboxes,name_es,concept,packaging
85bd727f-08f9-41a4-b54a-9b8529b89027,,ACEITE LUBRICANTE PARA PIEZA DE MANO DE BAJA VELOCIDAD - ENVASE C/240 ML.,CIEL:162138,
69bf13c3-6204-487a-86f4-ac07bfe8caa8,,AMLODIPINO TABLETAS O CAPSULAS 5 MG. - ENVASE CON 10 Ó 30 CAPSULAS O TABLETAS,CIEL:71138,
c21a29c8-f44c-46a2-a268-e1248ff4ec56,,"AMLODIPINO, BESILATO DE DE 5 MG, TABLETA O CÁPSULA, ENVASE CON 10 TABLETAS O CÁPSULAS. - 10 TABLETAS O CÁPSULAS.",CIEL:71138,
b9e113bb-cff7-4b7f-add7-9a4c83d1bb44,,"BENZOILO, PERÓXIDO DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 30 ML. - ENVASE CON 30 ML",CIEL:72063,
62866332-6e8a-4c8e-8779-3d32762b75c2,,"BENZOILO, PERÓXIDO DE DE 5 G / 100 ML, LOCIÓN DÉRMICA, ENVASE CON 50 ML. - ENVASE CON 50 ML",CIEL:72063,
341dbcae-5bb1-4798-b20b-47ac8a755dcb,,"BENZOILO, PERÓXIDO DE DE 5 G / 100 G, GEL DÉRMICO, ENVASE CON 60 G. - ENVASE CON 60 ML",CIEL:72063,
ad1c5007-57a7-4bb7-afd4-e450d307486b,,"CEFALEXINA MONOHIDRATADA DE 500 MG, TABLETA O CÁPSULA, ENVASE CON 20 TABLETAS O CÁPSULAS. - ENVASE CON 20 TABLETAS O CÁPSULAS.",CIEL:73087,
42e907a0-8b22-4b54-9135-2551525c2f8a,,"COMPLEJO B DE TIAMINA, MONONITRATO DE, 100MG, PIRIDOXINA 5 MG, CIANOCOBALAMINA 50 µG, TABLETA, COMPRIMIDO O CÁPSULA, ENVASE CON 30 TABLETAS, COMPRIMIDOS O CÁPSULAS. - 30 TABLETAS, ",CIEL:84995,
36db006e-9220-4887-bf4c-3a5c94763ff4,,CONDÓN MASCULINO DE HULE LÁTEX. ENVASE CON 100 PIEZAS. - ENVASE CON 100 PIEZAS,CIEL:190,
2f019cff-e974-4d07-aba0-1ee13eb8b73b,,"DICLOFENACO SÓDICO DE 75 MG/3 ML, SOLUCIÓN INYECTABLE, ENVASE CON 2 AMPOLLETAS CON 3 ML. - 2 AMPOLLETAS CON 3 ML",CIEL:74782,
c056e686-5b52-42c2-b997-25f66f01eb3d,,"DICLOFENACO SÓDICO DE 100 MG, CÁPSULA O GRAGEA DE LIBERACIÓN PROLONGADA, ENVASE CON 20 CÁPSULAS O GRAGEAS. - 20 CÁPSULAS O GRAGEAS",CIEL:74782,
41542770-ea1c-4767-b9dc-a09dbc36a47c,,DIFENHIDRAMINA JARABE 12.5MG/ML - ENVASE,CIEL:75015,
c6430422-20f9-4956-88d4-0d98153d11b3,,"DIFENHIDRAMINA, CLORHIDRATO DE DE 100 MG / 10 ML, SOLUCIÓN INYECTABLE, ENVASE CON FRASCO ÁMPULA DE 10 ML. - FRASCO ÁMPULA CON 10 ML.",CIEL:75015,
7a36ffcd-7b82-4807-be82-448ab933e8f4,,"DIFENHIDRAMINA, CLORHIDRATO DE DE 250 MG/100 ML, JARABE, ENVASE CON 60 ML. - ENVASE CON 60 ML",CIEL:75015,
ddeaf233-084b-4b4f-b03c-0e10b0d3ed12,,"ESTREPTOMICINA, SULFATO DE DE 1 G, SOLUCIÓN INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y DILUYENTE CON 2 ML. - FRASCO ÁMPULA Y DILUYENTE CON 2 ML",CIEL:84360,
34c74806-fb42-40ba-b5cd-3aec1203b482,,"FENITOÍNA SÓDICA DE 100 MG, CÁPSULA O TABLETA, ENVASE CON 50 TABLETAS O CÁPSULAS. - 50 TABLETAS O CÁPSULAS",CIEL:82024,
dbcd8bf9-d95e-4608-950a-46de38ef9d91,,"FENITOÍNA SÓDICA DE 250 MG/5 ML, SOLUCIÓN INYECTABLE, ENVASE CON UNA AMPOLLETA (250 MG/5 ML). - UNA AMPOLLETA CON 5 ML",CIEL:82024,
12899131-d091-4165-bdf0-213a2bd11217,,"FENITOÍNA SÓDICA DE 30 MG, TABLETA, ENVASE CON 50 TABLETAS. - 50 TABLETAS",CIEL:82024,
3f94f9a3-1328-4acb-8201-d6a12bd8ebd1,,"FITOMENADIONA SOLUCIÓN O EMULSIÓN INYECTABLE, CADA AMPOLLETA CONTIENE FITOMENADIONA 10 MG. PRESENTACIÓN: 5 AMPOLLETAS CON 1.0 ML - ENVASE CON 5 AMPOLLETAS DE 1 ML.",CIEL:86353,
8f8c39ad-f6b0-4e01-a974-30f536da7c0f,,"FITOMENADIONA DE 2 MG, SOLUCIÓN O EMULSIÓN INYECTABLE, ENVASE CON 3 AMPOLLETAS DE 0.2 ML. - 3 AMPOLLETAS CON 0.2 ML",CIEL:86353,
07ba7d23-92bd-4d65-8c64-936b50150997,,"FITOMENADIONA DE 2 MG, SOLUCIÓN O EMULSIÓN INYECTABLE, ENVASE CON 5 AMPOLLETAS DE 0.2 ML. - ENVASE CON 5 AMPOLLETAS DE 0.2 ML.",CIEL:86353,
