UUID,OpenBoxes PID ,Nom du Produit,Concept mapping,"Dosage Form (Tablet, etc)"
819b83c0-e218-4ffe-854c-75c941feb948,ZQ21,"Metoprolol succinate tartrate, 25 mg, extended release tablet",CIEL:79766,
73813726-3e82-4230-87dd-25dc963579b6,DD95,"Anti-haemorrhoid, ointment, 30 gram tube ",CIEL:162167,
c4fb8c0b-bd27-4276-ad86-3c25daa3978a,YZ65,"Bacitracin 500 internatinal units/gram + neomycin sulphate 0.5 % (0.35 % base) skin-ointment, 15 gram tube",CIEL:162168,
2033cc3e-179e-41ab-b8e4-3de9fcc5b6c9,XJ13,"Acetazolamide, 250 mg, tablet ",PIH:4031,
ec08318d-5255-467e-847c-738eff37b3d5,HJ92,"Acetylcysteine, 200 mg/mL (20 %), 10 mL ampoule ",CIEL:70148,
8d5941e8-5f86-4289-a6ba-122320814bd5,CH56,"Acetylsalicylic acid, 100 mg, tablet ",PIH:88,
0962492b-295e-4f61-8d7b-717a61f43997,PJ94,"Aciclovir, 200 mg, tablet ",CIEL:70245,
f1403640-6911-4758-bbdb-183329c65708,ZU93,"Aciclovir, 3% eye ointment, 4.5 gram tube ",CIEL:70245,
a7da6ae3-8038-47ad-962b-1a6eedc0c76c,TU70,"Adenosine, 3 mg/mL, 2 mL ampoule ",CIEL:70272,
0b1cc49f-60cc-4370-8bad-1557e7bd333d,ZK12,"Adrenaline 0.1 mg/mL, 10 mL prefilled syringe  ",PIH:4032,
d76a4455-bcf0-48b0-b34e-55e1c1b09d37,SP73,"Adrenaline, 1 mg/mL, 1 mL ampoule ",PIH:4032,
af52a21e-0081-459e-8aeb-611330790985,EM77,"Albendazole, 200 mg, chewable flavored tablet ",PIH:941,
8112cd30-ae2a-11e4-ab27-0800200c9a66,HJ60,"Albendazole, 400 mg, chewable flavored tablet ",PIH:941,
97069383-765b-4161-bbf7-4fac1922f63d,HQ34,"Albendazole, 200 mg/ 5 mL oral suspension, 10 mL bottle ",PIH:941,
1f83d00b-2241-450f-b114-1897e4134cc6,DT28,"Amiodarone, 50mg/mL, 3mL vial ",CIEL:71118,
5edb194a-70bf-4fbf-b2ca-4dce586af7f3,PY42,"Amitriptyline hydrochloride, 25 mg, coated tablet ",PIH:931,
6620289c-cc66-4892-9b2d-ecc40c746945,HT89,"Amlodipine besylate, 5 mg, tablet ",CIEL:71138,
1f7c1ff6-9dff-4ce3-9f56-d7da12513869,SU61,"Amoxicillin 125 mg/ 5 mL, powder for suspension, 100 mL bottle ",PIH:265,
5c2ffaf4-0a6e-462b-9d0c-a2c3fa25b556,TK90,"Amoxicillin 500 mg + potassium clavulanic acid, 125 mg, tablet ",PIH:450,Tablet
3f10d8a7-0b83-45f5-8f5c-efe638d1f88c,XT64,"Amoxicillin, 250 mg/ 5 mL, powder for suspension, 100 mL bottle ",PIH:265,
1491ae88-f38c-4a8c-94d5-f8385eb3b9d9,ZF67,"Amoxicillin, 500 mg, tablet ",PIH:265,Tablet
826577ea-9cff-48de-91fb-4e4a23c65b8e,UH08,"Amphotericin B, 50 mg, dry powder for injection  ",CIEL:71184,
0c29702a-9224-465d-8ec1-e45b8f56fbed,GU65,"Ampicillin, 1 gram, powder for injection ",PIH:269,
