UUID,Nav code,Nom du Produit,Concept mapping,"Dosage Form (Tablet, etc)"
8d5941e8-5f86-4289-a6ba-122320814bd5,10194,"Acetylsalicylic acid, 100mg tablet",PIH:88,
af52a21e-0081-459e-8aeb-611330790985,10369,"Albendazole, 200mg chewable tablet",PIH:941,
8112cd30-ae2a-11e4-ab27-0800200c9a66,10625,"Albendazole, 400mg chewable tablet",PIH:941,
c6a8d8ae-fce4-11e9-8f0b-362b9e155667,10057,"Allopurinol, 100mg tablet",CIEL:70878,
6620289c-cc66-4892-9b2d-ecc40c746945,10667,"Amlodipine besylate, 5mg tablet",CIEL:71138,
c6a8db56-fce4-11e9-8f0b-362b9e155667,12292,"Amoxicillin 125mg + clavulanic acid 31.25mg/mL, Powder for oral suspension, 100mL bottle",PIH:450,
5c2ffaf4-0a6e-462b-9d0c-a2c3fa25b556,10284,"Amoxicillin 500mg + clavulanic acid 125mg tablet",PIH:450,
1f7c1ff6-9dff-4ce3-9f56-d7da12513869,11659,"Amoxicillin, Powder for oral suspension, 250mg/5mL, 100mL bottle",PIH:265,
c6a8dcb4-fce4-11e9-8f0b-362b9e155667,12235,"Amoxicillin, 250mg tablet",PIH:265,
1491ae88-f38c-4a8c-94d5-f8385eb3b9d9,11794,"Amoxicillin, 500mg tablet",PIH:265,
0c29702a-9224-465d-8ec1-e45b8f56fbed,10583,"Ampicillin, Powder for solution for injection, 1 gram vial",PIH:269,
73813726-3e82-4230-87dd-25dc963579b6,10278,"Haemorrhoid relief, Rectal ointment, 30 gram tube",CIEL:162167,
24e44864-7ab3-4919-8e75-004b838ae06c,10205,"Vaccine, Rabies, on vero cells, monodose vial, with diluent",PIH:413,
c6a8e7fe-fce4-11e9-8f0b-362b9e155667,12269,"Artemether, Solution for injection, 80mg/mL, 1mL ampoule",CIEL:71560,
c8d3444c-41a4-48d3-9ec1-811fe7b27d99,12200,"Ascorbic acid (Vitamin C), 250mg tablet",PIH:4041,
2f8d7a99-d4ec-4ad7-b898-1c953cb332fd,10993,"Atenolol, 50mg tablet",PIH:3186,
a40da2e0-c981-11e7-abc4-cec278b6b50a,11579,"Azithromycin, 500mg tablet",PIH:735,
ab912f78-2112-4e87-aca7-1ded71e8a04b,11196,"Benzathine benzylpenicillin, Powder for solution for injection, 2.4 MIU vial",PIH:4034,
289d9476-1bcc-4250-a04e-934c1b212119,11760,"Benzoic acid 6% + Salicylic acid 3%, Skin ointment, 40 gram tube",CIEL:72050,
922bfb9f-3db1-45b3-92b1-d1218b49eedd,10793,"Benzylbenzoate, Skin lotion, 25%, 1000mL bottle",PIH:409,
c6a8ddea-fce4-11e9-8f0b-362b9e155667,11924,"Benzylpenicillin procaine, Powder for solution for injection, 4 MIU vial",CIEL:159587,
c6a8df16-fce4-11e9-8f0b-362b9e155667,12741,"Calcium carbonate, 1177mg chewable tablet",CIEL:72660,
c6a8e66e-fce4-11e9-8f0b-362b9e155667,12503,"Calcium carbonate, 750mg chewable tablet",CIEL:72660,
78a5211c-c325-4602-90e0-fcf5a0101a9e,10362,"Calcium gluconate, Solution for injection, 100mg/mL (10%), 10mL ampoule",PIH:4035,
c6a8e948-fce4-11e9-8f0b-362b9e155667,18075,"Calcium lactate, 300mg tablet",CIEL:72686,
7134a5ba-2033-4833-a1ac-d256fd005932,11405,"Captopril, 25mg tablet",PIH:3182,
e371d811-d32c-4f6e-8493-2fa667b7b44c,11634,"Carbamazepine, 200mg film coated tablet",PIH:920,
c6a8ea7e-fce4-11e9-8f0b-362b9e155667,12201,"Cefalexin, 250mg capsule",CIEL:73087,
4c908591-3adf-4601-b61c-4faddffbee56,10167,"Cefalexin, 500mg capsule",CIEL:73087,
fd576d2f-1472-47d8-b925-3cebeb5b1c44,10083,"Cefixime, 400mg film coated tablet",PIH:963,
b697554f-491b-4ad4-a259-bb2f4f1d16a3,10983,"Ceftriaxone, Powder for solution for injection, 1 gram vial",PIH:496,
199bd4a3-b4ab-4bcc-bb1d-52d4e270bf71,11541,"Cetirizine hydrochloride, 10mg tablet",CIEL:73137,
57e41df2-d64c-4316-a4e4-35613bd36a35,11696,"Chloramphenicol sodium succinate, Powder for solution for injection, 1 gram vial",CIEL:73241,
d8283445-07f9-4af6-ac73-ffe4818a66b5,10613,"Chloramphenicol, Eye ointment, 1%, 5 gram tube",PIH:266,
203e9c50-ff86-44f7-8725-b8c5c475bd23,10910,"Chloramphenicol, Oral suspension, 25mg/mL, 100mL bottle",PIH:266,
a94cfca9-e230-4909-af46-106ef5034cac,10796,"Chloramphenicol, 250mg capsule",PIH:266,
c6a8eba0-fce4-11e9-8f0b-362b9e155667,12335,"Chlorphenamine maleate, 4mg tablet",PIH:913,
c6a8ecb8-fce4-11e9-8f0b-362b9e155667,12160,"Ciprofloxacin, Solution for infusion, 2mg/mL, 100mL polypropylene infusion bag",CIEL:73449,
2a885fd0-f8c9-43fb-883b-fe25d5769338,10346,"Ciprofloxacin, 500mg film coated tablet",CIEL:73449,
5e11cd96-3277-4a74-968e-1aa3d3312e6c,11811,"Clotrimazole, Skin cream, 1%, 20 gram tube",PIH:960,
6280e6c2-03e7-4d79-aede-bc61ceaf4185,10279,"Cloxacillin, 500mg capsule",PIH:922,
b3910fb7-2b17-44e6-8a52-8543af46c935,10131,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), Oral suspension, 40mg/mL + 8mg/mL, 100mL bottle",PIH:916,
c6a8edda-fce4-11e9-8f0b-362b9e155667,12302,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 100mg/20mg tablet",PIH:916,
85153088-b868-4723-aacd-27f25f121685,11774,"Cotrimoxazole (Sulfamethoazxole/Trimethoprim), 800mg/160mg tablet",PIH:916,
399834b1-b44b-11e3-a5e2-0800200c9a66,12208,"Dexamethasone, 4mg tablet",PIH:6850,
54050882-524f-46c2-b898-d514ee633ab0,10737,"Dextrose, 5% Intravenous infusion, 1000mL plastic bottle, PVC free",CIEL:161250,
923e3e90-8b5c-4ae6-b17f-b6d547803437,10664,"Diazepam, Solution for injection, 5mg/mL, 2mL vial",PIH:247,
c6a8f6cc-fce4-11e9-8f0b-362b9e155667,12244,"Diclofenac sodium, 50mg enteric coated tablet",CIEL:74782,
b5f01af3-b4c0-45f6-bbd7-aa2e9e846987,10854,"Diclofenac sodium, Solution for injection, 25mg/mL, 1mL ampoule",CIEL:74782,
8aad2a23-2977-4b5b-a30a-4a9142ce774b,11089,"Doxycycline, 100mg tablet",PIH:95,
4efe3f48-2656-4178-bfcd-c6d103851084,12393,"Enalapril maleate, 10mg tablet",CIEL:75634,
82f4f009-d17b-44c9-b42b-0e080fda0572,10149,"Ergometrine maleate, 500 microgram, tablet",CIEL:75801,
c6a8fb2c-fce4-11e9-8f0b-362b9e155667,12307,"Erythromycin stearate, 250mg film coated tablet",CIEL:75847,
1ff620f2-f9c7-4fcd-8a52-6f02b1167563,11272,"Erythromycin, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:75842,
33ec6eca-1f62-4ebc-acea-f5524c2b4f40,10713,"Ferrous sulfate 200mg + folic acid 250 microgram tablet",PIH:773,
74f565ce-c515-41b2-bbd4-29fc6416231b,11397,"Fluconazole, 200mg capsule",PIH:747,
cf0037b9-f5a9-4f39-a287-a3e09f02557b,10711,"Fluconazole, Powder for oral suspension, 10mg/mL, 35mL bottle",PIH:747,
6241e56b-ec9c-4c5b-a79c-1ce6481b1acb,10370,"Folic acid, 5mg tablet",PIH:257,
fb5842a2-60ef-4539-b428-f99a1f76c85f,10892,"Furosemide, 40mg tablet",PIH:99,
a9330ce0-7369-41ea-98c7-1cda24a2afa2,11460,"Gentamicin sulfate, Eye and Ear drop, 0.3%, 10mL bottle",CIEL:76942,
b09cd1eb-b44d-40ca-af48-49c373c408ea,10120,"Gentamicin, Solution for injection, 40mg/mL, 2mL ampoule",PIH:100,
280353a2-3da7-480b-ab58-03dcd401d3ff,10049,"Griseofulvin, 500mg tablet",PIH:3679,
ce857097-f7a1-4178-b018-a8067a5710d1,10579,"Hydrochlorothiazide (HCT), 25mg tablet",PIH:1243,
c6a8fca8-fce4-11e9-8f0b-362b9e155667,12390,"Hydrocortisone, Preservative free powder for solution for injection, 100mg vial",CIEL:77719,
68f687c0-2875-4934-a060-825be42943e2,11136,"Hydrogen peroxide, 3%, 500mL bottle",PIH:313,
8f2d1a7e-4ddb-4805-bf7e-1fb765592124,11380,"Hyoscine butylbromide, 10mg film coated tablet",PIH:431,
