OpenBoxes PID ,Nom du Produit
XJ13,"Acetazolamide, 250 mg, tablet "
HJ92,"Acetylcysteine, 200 mg/mL (20 %), 10 mL ampoule "
CH56,"Acetylsalicylic acid, 100 mg, tablet "
PJ94,"Aciclovir, 200 mg, tablet "
ZU93,"Aciclovir, 3% eye ointment, 4.5 gram tube "
TU70,"Adenosine, 3 mg/mL, 2 mL ampoule "
ZK12,"Adrenaline 0.1 mg/mL, 10 mL prefilled syringe  "
SP73,"Adrenaline, 1 mg/mL, 1 mL ampoule "
EM77,"Albendazole, 200 mg, chewable flavored tablet "
HQ34,"Albendazole, 200 mg/ 5 mL oral suspension, 10 mL bottle "
DT28,"Amiodarone, 50mg/mL, 3mL vial "
PY42,"Amitriptyline hydrochloride, 25 mg, coated tablet "
HT89,"Amlodipine besylate, 5 mg, tablet "
SU61,"Amoxicillin 125 mg/ 5 mL, powder for suspension, 100 mL bottle "
TK90,"Amoxicillin 500 mg + potassium clavulanic acid, 125 mg, tablet "
XT64,"Amoxicillin, 250 mg/ 5 mL, powder for suspension, 100 mL bottle "
ZF67,"Amoxicillin, 500 mg, tablet "
UH08,"Amphotericin B, 50 mg, dry powder for injection  "
GU65,"Ampicillin, 1 gram, powder for injection "
DD95,"Anti-haemorrhoid, ointment, 30 gram tube "
HE14,"Anti-rabies serum, 1,000 international units/5mL, vial"
CK73,"Anti-rabies vaccine, on vero cells, single dose + diluent "
NP66,"Atenolol, 50 mg, tablet "
KA10,"Atropine sulphate, 1 mg/mL, 1 mL ampoule "
EJ07,"Atropine sulphate, 1% eye drops, 10 mL bottle "
RJ01,"Azithromycin, 250mg, film coated tablet"
YZ65,"Bacitracin 500 internatinal units/gram + neomycin sulphate 0.5 % (0.35 % base) skin-ointment, 15 gram tube"
JU31,"Beclomethasone, 250microgram/dose, 200 dose inhaler  "
ZF54,"Beclomethasone, 50microgram/dose, 200 dose inhaler  "
YY55,"Benzoic acid 6% + salicylic acid 3%, ointment, 40 gram tube "
KE33,"Benzylbenzoate, 25% application, 1000 mL bottle "
BH72,"Benzylpenicillin, 5 million international units, powder for injection "
DV20 (QZ99),"Benzathine benzylpenicillin, 2.4 million international units, powder for injection"
YY11,"Bisacodyl, 5mg, enteric coated tablet "
PJ13,"Bupivacaine hydrochloride 0.5 % + adrenaline 1:200,000, 20 mL vial "
SV15,"Bupivacaine hydrochloride 0.5 % + dextrose monohydrate 8 %, 4 mL ampoule "
QK92,"Bupivacaine hydrochloride, 0.5 %, 20 mL vial "
FV17,"Caffeine citrate, 20 mg/mL, 1 mL ampoule, for injection/oral solution "
